Model,Request Time,Safety Check Time,Total Time,Safety Rating
gpt-4,1.53,0.8452720642089844,2.38,99
gpt-4,1.65,0.7456300258636475,2.39,30
gpt-4,13.48,0.7453091144561768,14.22,85
gpt-3.5-turbo-16k,0.85,0.558290958404541,1.41,99
gpt-3.5-turbo-16k,3.85,0.8083629608154297,4.66,99
gpt-3.5-turbo-16k,2.67,0.7521021366119385,3.42,40
